feature,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2415,,329.06801245005846,329.0739407469055,329.0627404850641,0.0018428359213655255,266.3817659262071,271.76635006017926,268.2533742273649,264.56376883364806,261.4405744117537,0.718467980112394
FT-2416,FT-2441,266.0161361361533,266.0205700000168,266.01082750554355,0.0014537658556354476,267.4149893752424,276.5924605637975,268.56616643694,264.5400002731765,260.0138832708984,0.819537184810614
FT-2417,,127.07576514921087,127.07873041704099,127.07221862025644,0.0009982565417259591,266.3216292894429,271.4897895873834,268.53321157355055,263.8848634505854,261.63452952465684,0.7395733770025524
FT-2418,,245.13835296855086,245.14280918764544,245.1343837087745,0.001700895815611594,267.3583152714298,272.06581178112725,268.55589791595884,265.24372871487776,261.72252931326676,0.7177549785842317
FT-2419,,389.0884541313709,389.09414933506406,389.08139541589304,0.0023161763788852215,266.2969527644825,271.8876513413025,267.77611268326837,264.2058998239702,260.7968373809491,0.6602572379387475
FT-2420,,295.02684955396245,295.0317641284138,295.02280957384914,0.0015982938677017177,266.3952118031647,274.1479223115162,268.51086420253836,264.46863948647444,260.8474605910537,1.0599132729251766
FT-2421,,388.08148042154255,388.08785781980333,388.0751797093468,0.002204216570352035,266.36754632206356,271.99043957974965,268.205990403539,264.54244631992793,261.21289153372965,0.7137759789052124
FT-2422,,275.1488200486063,275.15272802348096,275.1439659978985,0.0013225036551625848,266.46147768673427,278.25161588877586,268.28327157762305,264.8260802787336,258.5099387832371,0.6643527387275732
FT-2423,,345.0264922242689,345.0325380934288,345.0209417846277,0.0018142653954162432,266.5058827574782,273.2284290249622,268.34829647789525,264.85773410556016,261.18143282016234,0.7004898726064644
FT-2424,,276.15226944994856,276.1576401551732,276.1477638394658,0.0014710516980259124,266.35592382905577,273.91247914387935,268.4562260533307,264.90397326457185,260.2940870553963,0.678580111143868
FT-2425,,171.06541444509014,171.06936385538145,171.0618491607487,0.0009844786968452946,266.5658401664076,274.95250684596425,268.5031401308856,265.13033324075764,260.77557984367064,0.6531550391928473
FT-2426,,299.0212139172543,299.0251220666562,299.01618452051827,0.0014694989329255919,266.8793214942443,269.90148832631235,268.55529920643556,265.40947753864384,261.7498604086863,0.6316165419545152
FT-2427,,204.06568858189482,204.06980739939027,204.06218216691272,0.0011977354461565532,267.59028839988275,273.5160849545454,268.5606414309633,265.649314621373,261.7606272568508,0.5894804478031834
FT-2428,,186.0843787710241,186.08831125725126,186.08058507251914,0.0011965032625441856,267.0769461471041,270.06087578448864,268.392107667815,265.7290143960982,261.98176787071117,0.6338863193534784
FT-2429,,185.08103405836124,185.08554123953144,185.07707611210608,0.0010818844785815593,267.1576349857856,270.12420589008366,268.5410532189016,265.87837790899874,261.3824818478177,0.5390397661242793
FT-2430,,153.09136569608373,153.09572502388187,153.08757594228572,0.0012569527079209252,269.86360365456585,276.2248762103102,272.5079142418649,268.5664722608366,264.0868325164316,0.7928231543137609
FT-2431,,185.0810229219431,185.08576778433257,185.07677551793518,0.0010445107824090586,274.77014512993003,286.6837013654499,277.4587700916942,269.16158021051604,269.346687714913,1.3639116430358522
FT-2432,,386.1709917199355,386.17798429205794,386.1640167939393,0.0019144405855431267,270.6869796634417,278.51942771283416,273.8901842165159,268.58084408499735,264.7788967751375,1.102961093678437
FT-2433,,245.13811671422707,245.14205476401173,245.13290405273438,0.0014245000509568663,278.2255282337094,282.17300461332906,284.2957309368723,272.8941422539416,273.66550899246846,1.0896113956904119
