,merged,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-2482,,862.392493064845,862.4026481598473,862.3789249318636,0.0051660439369065,287.7656786381721,297.077307249367,292.82077959689553,283.9736028878665,281.4024648164375,1.9472673874699176
FT-2484,,153.0912779927035,153.09529561651502,153.08729802720185,0.001298813055473,286.843751779235,292.6335351363481,290.25797644885125,284.26556771630567,281.96076801844026,0.9104946070563316
FT-2487,,359.0783457379701,359.08485716741967,359.07037806596225,0.0023291335063732,288.80596373842445,295.90504826365674,293.4488541852511,285.34005179447007,282.9887884980298,1.2984243444172938
FT-2488,,159.10179392893124,159.10531772174176,159.09807716115358,0.0010135683794788,288.463653243512,295.68145854132564,294.0700276835535,285.4120708668386,282.8086612338058,0.8829472157523548
FT-2489,,173.11742710330736,173.12175754789484,173.1134185791016,0.0009792639825952,295.2307637940369,299.68449812939497,297.5805876338497,293.18845501382754,288.34461785068004,0.7562819419753024
FT-2490,FT-2696,173.1174540257498,173.12168279525116,173.11341857910156,0.0010659617810368,303.129788319254,306.42182627274485,303.79289867887786,300.9900159813057,299.31033259286227,0.4414004142975979
FT-2492,,459.2034477130912,459.2084863885141,459.1984575312889,0.0022902430413172,291.8265986678848,298.92393997737497,296.1297187037619,286.561616004736,285.388166223255,1.9696352623054505
FT-2494,,227.1280022773854,227.13085328241684,227.12392901299052,0.001505975607469,293.97339942338465,299.2062360899743,297.5740003635172,290.48919330590365,288.3680452619293,1.2741498449708528
FT-2495,,226.01687607794864,226.01991821012487,226.01319316217808,0.0013770668059071,289.8215980532132,296.2702774215488,294.04362812700055,287.3333741387398,285.00602103852,1.65280946824499
FT-2496,,246.05086801702927,246.0550169163127,246.0456416701351,0.0014660692614048,290.2785241180312,297.33298887418,293.8479134468886,287.3973327182895,285.5587378073907,1.5268944146562575
FT-2498,,164.08316619580702,164.0861349293243,164.07952227263425,0.00122109352173,290.0983382454293,296.11934647305253,293.22697563640725,287.83957000708347,285.6525276999504,1.4497134947869337
FT-2499,,247.04482792527827,247.05053240497907,247.04062628396173,0.0016526743602213,290.21556804648395,297.0561087385113,294.24182113205075,287.8442884284464,285.4962177479519,1.5714420845991692
FT-2501,,245.04778328713897,245.0529169226532,245.0435618024534,0.0013384115445635,290.75512830637786,303.981964874267,294.7007015950303,288.055749770616,284.7222596168505,1.7252598676514463
FT-2503,,461.0187475053463,461.0253343388944,461.011592128071,0.0025527483481804,295.36588750571,299.6034892400061,297.4142216489732,292.45313304711783,289.50924423005887,1.0548768676800162
FT-2504,,224.5621228104654,224.5657030644173,224.55777760431235,0.0011086002886307,295.5457840721652,308.0576308205194,301.4620866211129,290.117424926478,285.30323298409286,1.854931764976176
FT-2505,,187.0972539026305,187.1005957196778,187.0938132421892,0.0011882386894045,301.9026360825803,337.4047780492482,303.7755281554236,290.1162689787636,289.3333967476173,1.83782146247062
FT-2506,,621.7906392683963,621.8010418020008,621.7808641887859,0.0035454545047272,292.75544139295863,302.17837763995755,298.36427633574624,288.7030970955486,286.51341624376465,2.042727424772252
FT-2514,,369.1542023024368,369.1589994356415,369.14881347205466,0.001806043770681,292.11546512315937,300.7223076156415,294.2377376593766,290.4234572515772,286.80089624622485,0.7096953520654113
FT-2516,,212.06397514515317,212.0685384706038,212.05940412294703,0.0015693958842929,293.48892965253594,299.269319152828,295.17003590660306,290.8882227293378,288.529689788824,0.8845039358616841
FT-2517,,289.16467940538934,289.1701097157389,289.15961509382737,0.0015715656755303,302.21152301315,307.00731851470243,303.7285029385103,293.20182197487924,294.623532043314,0.7734810309856001
FT-2519,,211.06006804408855,211.0638783664319,211.0571688230629,0.0011129312159907,293.3420411492989,300.0282821916512,295.27179883372366,291.6997562266728,288.0447143397973,0.8043702530323352
FT-2523,,243.0319941921706,243.03696683870373,243.0264598963208,0.0015122717600127,301.9520866671325,309.5629051088881,303.78562880246767,294.9663029025127,295.75633198541834,1.142896034080244
FT-2524,,213.01907658448195,213.02394284280905,213.0121493451664,0.0020000765735383,302.23213741809985,306.60747104221264,303.7555769832449,295.199246649815,295.806146551057,1.4027757111173873
